Project Metadata
title,sprintDuration,totalDuration,sprintCapacity,projectStartDate
Ecommerce Website,2,20,10,2023-04-01

Developers
id,name,capacity
0,John,150
1,Jack,150
2,Joe,150
3,Jane,150
4,Rachel,150

Stories
id,title,dependencies,preAssignedDeveloperId,storyPoints,description
0,User Registration,,,5,Allow users to register for an account
1,User Login,0,,3,Allow registered users to log in
2,User Profile,1,,8,Allow users to view and edit their profile information
3,Product Catalog,,,13,Display a list of available products
4,Product Search,3,,8,Allow users to search for products
5,Product Filtering,3,,5,Allow users to filter products by category,price,etc.
6,Product Sorting,3,,3,Allow users to sort products by price,popularity,etc.
7,Add to Cart,3,,5,Allow users to add products to their shopping cart
8,Remove from Cart,7,,3,Allow users to remove products from their shopping cart
9,Cart Management,7-8,,8,Allow users to view,update and empty their shopping cart
10,Guest Checkout,7,,5,Allow non-registered users to checkout as guests
11,User Checkout,7,,10,Allow registered users to checkout and save their shipping information
12,Payment Integration,11,,13,Integrate with a payment gateway to process payments
13,Order Confirmation,12,,5,Display a confirmation message after successful checkout
14,Order History,11,,8,Allow registered users to view their order history
15,Order Tracking,14,,10,Allow users to track the status of their orders
16,Product Reviews,3,,8,Allow users to leave product reviews and ratings
17,Product Recommendations,3,,5,Suggest similar products based on user browsing history
18,Customer Support,,,5,Allow users to contact customer support for assistance
19,Frequently Asked Questions,,,3,Display a list of commonly asked questions and answers
20,Return Policy,,,3,Display the company's return policy
21,Shipping Information,,,3,Display information about shipping rates and delivery times
22,Sales Reporting,13,,13,Generate reports on sales and revenue
23,Inventory Management,3,,10,Keep track of product inventory levels and restock as necessary
24,Product Images,3,,5,Display high-quality images of products
